reconstruction_i,reconstruction_j,block,test,blind_i,blind_j,manhattan
R1,R3,B,T5,3becc749-94f6-4674-9586-54e257ac3bb9,16d1c0db-1675-4d7c-9899-0ab4f164977e,0
R1,R4,B,T5,3becc749-94f6-4674-9586-54e257ac3bb9,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,16
R1,R5,B,T5,3becc749-94f6-4674-9586-54e257ac3bb9,54b0ea5e-a89d-4e79-864a-73226f2ae65e,0
R1,R6,B,T5,3becc749-94f6-4674-9586-54e257ac3bb9,ae4ddb7c-0880-4812-a56c-7fc29f248df4,0
R2,R3,B,T5,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,16d1c0db-1675-4d7c-9899-0ab4f164977e,0
R2,R4,B,T5,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,16
R2,R5,B,T5,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,54b0ea5e-a89d-4e79-864a-73226f2ae65e,0
R2,R6,B,T5,78c2c5f6-6a43-409a-a9ff-df5d73e1f6b1,ae4ddb7c-0880-4812-a56c-7fc29f248df4,0
R3,R4,B,T5,16d1c0db-1675-4d7c-9899-0ab4f164977e,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,16
R3,R5,B,T5,16d1c0db-1675-4d7c-9899-0ab4f164977e,54b0ea5e-a89d-4e79-864a-73226f2ae65e,0
R3,R6,B,T5,16d1c0db-1675-4d7c-9899-0ab4f164977e,ae4ddb7c-0880-4812-a56c-7fc29f248df4,0
R4,R5,B,T5,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,54b0ea5e-a89d-4e79-864a-73226f2ae65e,16
R4,R6,B,T5,6f9d0b5f-f0cc-40fd-a36d-0143d0b749fa,ae4ddb7c-0880-4812-a56c-7fc29f248df4,16
R5,R6,B,T5,54b0ea5e-a89d-4e79-864a-73226f2ae65e,ae4ddb7c-0880-4812-a56c-7fc29f248df4,0
